File,Cloud Cover Over Land
LANDSAT_LC08_C02_T1_LC08_042018_20190214_406QLD0_100000_1550168825544.tif,1.57
LANDSAT_LC08_C02_T1_LC08_058013_20191113_2201401_100000_1573675475868.tif,0.31
LANDSAT_LC08_C02_T1_LC08_042018_20191231_406QLD0_100000_1577816854260.tif,2.31
LANDSAT_LC08_C02_T1_LC08_058014_20200201_2201401_100000_1580587483432.tif,0.22
LANDSAT_LC08_C02_T1_LC08_042025_20230329_3050519_100000_1680114596445.tif,1.68
LANDSAT_LC08_C02_T1_LC08_037025_20140301_4022359_100000_1393696791219.tif,0.0
LANDSAT_LC08_C02_T1_LC08_048023_20170101_1096631_100000_1483297597830.tif,3.79
LANDSAT_LC08_C02_T1_LC08_058014_20150510_2201401_100000_1431288222347.tif,0.93
LANDSAT_LC08_C02_T1_LC08_042018_20220326_406QLD0_100000_1648319228103.tif,2.54
LANDSAT_LC08_C02_T1_LC08_037025_20140128_4022359_100000_1390932020011.tif,4.08
LANDSAT_LC08_C02_T1_LC08_042024_20220222_3031092_100000_1645554586039.tif,0.21
LANDSAT_LC08_C02_T1_LC08_043018_20131205_2202203_100000_1386268508989.tif,0.17
LANDSAT_LC08_C02_T1_LC08_041018_20160622_406QLD0_100000_1466619656015.tif,0.72
LANDSAT_LC08_C02_T1_LC08_058014_20240806_2201401_100000_1722974651092.tif,0.09
LANDSAT_LC08_C02_T1_LC08_041019_20230829_406QLD0_100000_1693333293996.tif,0.99
LANDSAT_LC08_C02_T1_LC08_043018_20200802_2202203_100000_1596393208954.tif,2.64
LANDSAT_LC08_C02_T1_LC08_042018_20150510_406QLD0_100000_1431282384834.tif,0.79
LANDSAT_LC08_C02_T1_LC08_041019_20160419_406QLD0_100000_1461090067170.tif,0.13
LANDSAT_LC08_C02_T1_LC08_037024_20151201_4022359_100000_1448992739014.tif,0.13
LANDSAT_LC08_C02_T1_LC08_058014_20170312_2201401_100000_1489349063535.tif,0.24
LANDSAT_LC08_C02_T1_LC08_037024_20221220_4022359_100000_1671559154488.tif,0.57
LANDSAT_LC08_C02_T1_LC08_043022_20130628_3012202_100000_1372444624898.tif,3.73
LANDSAT_LC08_C02_T1_LC08_042018_20220105_406QLD0_100000_1641407255673.tif,0.6
LANDSAT_LC08_C02_T1_LC08_041018_20180409_406QLD0_100000_1523298032486.tif,0.0
LANDSAT_LC08_C02_T1_LC08_057014_20150212_2201401_100000_1423771097027.tif,1.91
LANDSAT_LC08_C02_T1_LC08_058013_20180331_2201401_100000_1522526621771.tif,0.0
LANDSAT_LC08_C02_T1_LC08_043018_20220520_2202203_100000_1653071608411.tif,2.62
LANDSAT_LC08_C02_T1_LC08_041019_20160215_406QLD0_100000_1455560489674.tif,1.4
LANDSAT_LC08_C02_T1_LC08_048023_20180426_1096631_100000_1524769537763.tif,0.11
LANDSAT_LC08_C02_T1_LC08_058013_20220411_2201401_100000_1649707444176.tif,1.45
LANDSAT_LC08_C02_T1_LC08_043018_20131221_2202203_100000_1387650899275.tif,3.13
LANDSAT_LC08_C02_T1_LC08_058013_20230313_2201401_100000_1678737853047.tif,1.5
LANDSAT_LC08_C02_T1_LC08_041018_20240324_406QLD0_100000_1711304450581.tif,0.0
LANDSAT_LC08_C02_T1_LC08_037024_20240718_4022359_100000_1721325503232.tif,3.57
LANDSAT_LC08_C02_T1_LC08_037024_20160813_4022359_100000_1471111133149.tif,1.72
LANDSAT_LC08_C02_T1_LC08_041018_20210228_406QLD0_100000_1614536469575.tif,0.69
